vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,2026年一季报归母净利润同比增速大于20%的农林牧渔行业上市公司（养殖、饲料、食品链）,1,智能选股,,,"智能选股工具共筛选出 33 个符合条件标的，以下列出前 33 条
|证券代码|证券简称|归属母公司股东的净利润(同比增长率)(%)<[日期]:20260331>|行业名称|收盘价(元)<[日期]:20260814><[复权方式]:前复权>|涨跌幅(%)<[日期]:20260814><[复权方式]:前复权>|涨跌(元)<[日期]:20260814><[复权方式]:前复权>|最高价(元)<[日期]:20260814><[复权方式]:前复权>|最低价(元)<[日期]:20260814><[复权方式]:前复权>|换手率(%)<[日期]:20260814>|成交量(股)<[日期]:20260814>|成交额(元)<[日期]:20260814>|最新股息率(%)<[日期]:20260814>|总市值(亿元)<[日期]:20260814>|流通市值(元)<[日期]:20260814>|
|000663|永安林业|34.27|农林牧渔-林业Ⅱ-林业Ⅲ|5.51|-0.36|-0.02|5.56|5.45|1.39|4250700.0|23370405.0|-|18.55|1687719589.96|
|002299|圣农发展|71.41|农林牧渔-养殖业-肉鸡养殖|16.13|-0.37|-0.06|16.22|16.0|0.77|9367162.0|150791789.37|3.09|200.46|19656013741.68|
|001313|粤海饲料|145.64|农林牧渔-饲料-水产饲料|7.87|-0.51|-0.04|8.09|7.74|2.83|19814369.0|155452948.17|1.43|55.09|5502336085.37|
|002688|金河生物|21.87|农林牧渔-动物保健Ⅱ-动物保健Ⅲ|5.2|-0.57|-0.03|5.27|5.17|0.8|5987700.0|31156163.0|1.89|40.01|3886810808.4|
|002772|众兴菌业|237.55|农林牧渔-种植业-食用菌|10.48|-0.85|-0.09|10.59|10.33|2.16|8025000.0|83872537.0|4.29|39.27|3894751850.96|
|002215|诺普信|20.04|农林牧渔-种植业-其他种植业|8.86|-1.01|-0.09|8.95|8.82|1.0|8058500.0|71483859.74|3.39|88.98|7159429089.64|
|002069|獐子岛|263.86|农林牧渔-渔业-水产养殖|3.33|-1.19|-0.04|3.36|3.28|1.22|8634400.0|28600739.0|-|23.68|2365019926.02|
|300511|雪榕生物|2291.06|农林牧渔-种植业-食用菌|5.37|-1.29|-0.07|5.45|5.32|2.52|13738160.0|73693502.0|-|34.41|2932036464.42|
|002481|双塔食品|67.61|农林牧渔-农产品加工-其他农产品加工|4.2|-1.41|-0.06|4.27|4.16|0.75|8413301.0|35347292.23|0.23|51.82|4696240920.0|
|300999|金龙鱼|50.98|农林牧渔-农产品加工-粮油加工|24.9|-1.5|-0.38|25.28|24.81|1.87|10137633.0|252881243.81|0.92|1349.98|13511912715.3|
|300268|佳沃食品|95.67|农林牧渔-农产品加工-其他农产品加工|11.36|-1.73|-0.2|11.66|11.2|1.04|1390000.0|15759170.0|-|19.79|1518917200.0|
|002746|仙坛股份|38.02|农林牧渔-养殖业-肉鸡养殖|6.12|-1.92|-0.12|6.26|6.1|2.45|17416700.0|107214878.0|4.9|52.66|4343218509.24|
|002868|绿康生化|120.77|农林牧渔-动物保健Ⅱ-动物保健Ⅲ|22.73|-2.11|-0.49|23.27|22.68|1.11|1193000.0|27374999.0|-|35.33|2441957113.33|
|002041|登海种业|37.16|农林牧渔-种植业-种子|8.46|-2.31|-0.2|8.67|8.46|1.66|14635680.0|124771156.18|-|74.45|7444800000.0|
|003030|祖名股份|43.44|农林牧渔-农产品加工-其他农产品加工|21.98|-2.53|-0.57|22.7|21.8|4.04|3271900.0|72572317.0|0.68|27.43|1779477171.5|
|920403|康农种业|944.14|农林牧渔-种植业-种子|17.93|-2.61|-0.48|18.49|17.86|2.15|1399117.0|25287946.96|1.01|19.6|1165502678.34|
|002458|益生股份|884.11|农林牧渔-养殖业-肉鸡养殖|9.74|-2.79|-0.28|10.08|9.67|5.82|56257194.0|548605577.84|1.17|139.4|9412595510.24|
|688156|路德科技|780.45|农林牧渔-饲料-畜禽饲料|20.19|-2.84|-0.59|20.83|19.84|3.68|3710860.0|74780655.0|0.0|20.33|2033418829.83|
|300189|神农种业|48.6|农林牧渔-种植业-种子|4.67|-2.91|-0.14|4.83|4.61|9.58|84927246.0|396547905.55|-|47.82|4138789480.08|
|600540|新赛股份|129.89|农林牧渔-种植业-其他种植业|3.86|-3.26|-0.13|4.0|3.84|4.02|23352269.0|90842134.0|-|22.44|2244115065.6|
|600265|*ST景谷|93.55|农林牧渔-林业Ⅱ-林业Ⅲ|23.85|-3.32|-0.82|24.85|22.8|1.74|2263653.0|53408690.0|-|30.96|3095730000.0|
|600191|华资实业|89.71|农林牧渔-农产品加工-其他农产品加工|10.3|-4.1|-0.44|10.98|10.2|2.98|14456500.0|151552401.0|0.22|49.95|4994799600.0|",2026-08-15T21:28:49.324950+08:00
