vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,2026年一季报归母净利润同比增速大于20%的社会服务行业上市公司（酒店旅游餐饮免税出行）,1,智能选股,,,"智能选股工具共筛选出 37 个符合条件标的，以下列出前 37 条
|证券代码|证券简称|归属母公司股东的净利润(同比增长率)(%)<[日期]:20260331>|行业名称|收盘价(元)<[日期]:20260814><[复权方式]:前复权>|涨跌幅(%)<[日期]:20260814><[复权方式]:前复权>|涨跌(元)<[日期]:20260814><[复权方式]:前复权>|最高价(元)<[日期]:20260814><[复权方式]:前复权>|最低价(元)<[日期]:20260814><[复权方式]:前复权>|换手率(%)<[日期]:20260814>|成交量(股)<[日期]:20260814>|成交额(元)<[日期]:20260814>|最新股息率(%)<[日期]:20260814>|总市值(亿元)<[日期]:20260814>|流通市值(元)<[日期]:20260814>|
|002186|全聚德|60.9|社会服务-酒店餐饮-餐饮|9.43|0.43|0.04|9.5|9.24|1.47|4519500.0|42309831.0|-|28.94|2893138974.84|
|601007|金陵饭店|29.2|社会服务-酒店餐饮-酒店|6.69|0.15|0.01|6.8|6.66|2.11|8222899.0|55251665.0|2.02|26.09|2609100000.0|
|002967|广电计量|251.01|社会服务-专业服务-检测服务|17.53|-0.23|-0.04|17.76|17.41|0.52|3153350.0|55281277.5|1.85|112.13|10585835578.05|
|603099|长白山|84.23|社会服务-旅游及景区-自然景区|39.99|-0.25|-0.1|40.83|39.7|2.27|6191200.0|248567908.0|0.36|108.92|10891510841.4|
|600754|锦江酒店|280.09|社会服务-酒店餐饮-酒店|19.18|-0.26|-0.05|19.47|19.0|0.97|8782455.0|168842065.0|2.67|204.09|18962034741.14|
|300887|谱尼测试|37.38|社会服务-专业服务-检测服务|7.41|-0.27|-0.02|7.48|7.28|4.15|15016086.0|110516423.48|-|40.44|2683881400.2|
|600826|兰生股份|46.14|社会服务-专业服务-会展服务|7.91|-0.38|-0.03|8.0|7.89|0.46|3360820.0|26634742.0|3.79|57.28|5728292022.88|
|600250|南京商旅|31.32|社会服务-旅游及景区-旅游综合|8.49|-0.59|-0.05|8.6|8.38|1.71|5354099.0|45277294.0|-|26.56|2655599019.96|
|600593|大连圣亚|292.79|社会服务-旅游及景区-人工景区|41.21|-0.82|-0.34|42.3|40.9|3.32|4274048.0|177251127.0|-|53.76|5307848000.0|
|300012|华测检测|30.93|社会服务-专业服务-检测服务|13.98|-0.92|-0.13|14.29|13.93|1.44|20588747.0|289432531.47|1.43|235.26|20008765438.74|
|000524|岭南控股|23.63|社会服务-旅游及景区-旅游综合|9.34|-0.95|-0.09|9.49|9.29|0.9|6003561.0|56081361.03|0.55|62.6|6257494936.92|
|300797|钢研纳克|46.66|社会服务-专业服务-检测服务|12.76|-1.01|-0.13|13.11|12.72|0.89|3413911.0|43917531.9|1.01|48.84|4871708844.64|
|301632|广东建科|124.82|社会服务-专业服务-检测服务|13.97|-1.06|-0.15|14.1|13.91|3.09|5680286.0|79376739.64|0.86|58.47|2567860625.0|
|002059|云南旅游|30.31|社会服务-旅游及景区-人工景区|4.48|-1.1|-0.05|4.55|4.44|0.67|6544000.0|29299825.0|-|45.36|4404046339.84|
|600706|曲江文旅|66.93|社会服务-旅游及景区-人工景区|7.71|-1.15|-0.09|7.83|7.61|1.84|4672720.0|35980291.0|-|19.67|1958572726.35|
|600880|博瑞传播|24.64|社会服务-教育-教育运营及其他|3.98|-1.24|-0.05|4.06|3.91|1.63|17798500.0|70662480.0|-|43.51|4350260096.5|
|600158|中体产业|79.34|社会服务-体育Ⅱ-体育Ⅲ|7.09|-1.25|-0.09|7.2|6.99|2.81|26966000.0|190813218.0|-|68.03|6802947645.03|
|603183|建研院|48.89|社会服务-专业服务-检测服务|4.62|-1.28|-0.06|4.75|4.55|2.57|12797874.0|58963704.0|0.11|22.97|2296848019.62|
|000796|凯撒旅业|161.71|社会服务-旅游及景区-旅游综合|3.83|-1.29|-0.05|3.88|3.78|1.93|25650800.0|97839691.0|-|61.43|5096818211.05|
|920160|北矿检测|35.42|社会服务-专业服务-检测服务|19.77|-1.84|-0.37|20.15|19.57|1.52|388620.0|7692713.33|1.26|22.4|503897760.0|
|301073|君亭酒店|135.24|社会服务-酒店餐饮-酒店|17.98|-2.07|-0.38|18.46|17.84|2.6|4616755.0|83382206.87|0.42|34.96|3196677792.88|
|300662|科锐国际|59.0|社会服务-专业服务-人力资源服务|20.15|-2.28|-0.47|20.95|19.91|2.4|4717656.0|95341483.76|1.14|39.66|3954139360.6|
|920753|天纺标|83.34|社会服务-专业服务-检测服务|15.23|-2.37|-0.37|15.52|15.14|1.84|601969.0|9178739.33|2.02|12.4|498167969.5|
|600661|昂立教育|84.71|社会服务-教育-培训教育|9.17|-2.55|-0.24|9.52|9.07|3.89|11140400.0|102446177.0|-|26.28|2627652771.1|
|920122|中纺标|205.39|社会服务-专业服务-检测服务|22.7|-3.07|-0.72|23.39|22.68|2.39|894204.0|20450725.22|0.86|20.94|848415632.6|
|000526|学大教育|22.9|社会服务-教育-培训教育|33.04|-3.45|-1.18|34.28|32.89|3.53|4283386.0|142819863.4|-|40.26|4010180737.36|
|605098|行动教育|38.26|社会服务-教育-培训教育|54.14|-3.8|-2.14|56.84|53.4|1.86|2214690.0|120342858.0|4.61|64.56|6456254554.0|
|301228|实朴检测|46.26|社会服务-专业服务-检测服务|61.57|-5.09|-3.3|64.03|60.85|3.39|4046925.0|250117532.25|-|73.88|7353938901.58|",2026-08-15T21:28:45.758511+08:00
