vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,南方航空 600029.SH 最新总股本是多少股？其中A股股本和H股股本分别是多少股？,1,股本结构,,,"|股票名称|股票代码|截止日期|总股本(仅普通股)(万股)|流通股本(万股)|限售股本(万股)|非流通股本(万股)|总股本(含优先股)(万股)|优先股(万股)|A股合计(万股)|流通A股(万股)|有限售条件流通A股(万股)|国家持股(万股)|国有法人持股(万股)|其他内资持股合计(万股)|其中：境内法人持股(万股)|其中：高管持股(万股)|其中：其他境内自然人持股(万股)|外资持股合计(万股)|其中：境外法人持股(万股)|其中：境外自然人持股(万股)|无限售条件流通A股(万股)|未流通A股(万股)|B股合计(万股)|流通B股(万股)|有限售条件流通B股(万股)|无限售条件流通B股(万股)|未流通B股(万股)|H股合计(万股)|有限售条件流通H股(万股)|无限售条件流通H股(万股)|海外上市股合计(万股)|S股合计(万股)|N股合计(万股)|三板A股(万股)|三板B股(万股)|股本变动原因说明|
|南方航空|600029.SH|2025-07-31|1812091.77|1812091.77|80357.14||1812091.77||1347692.04|1347692.04|80357.14||80357.14||||||||1267334.89|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,919.1379万股(本次转股0.0486万股)|
|南方航空|600029.SH|2025-06-30|1812091.72|1812091.72|80357.14||1812091.72||1347691.99|1347691.99|80357.14||80357.14||||||||1267334.84|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,919.0893万股(本次转股0.0972万股)|
|南方航空|600029.SH|2025-05-31|1812091.62|1812091.62|80357.14||1812091.62||1347691.89|1347691.89|80357.14||80357.14||||||||1267334.75|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,918.9921万股(本次转股0.0324万股)|
|南方航空|600029.SH|2025-04-30|1812091.59|1812091.59|80357.14||1812091.59||1347691.86|1347691.86|80357.14||80357.14||||||||1267334.71|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,918.9597万股(本次转股0.0324万股)|
|南方航空|600029.SH|2025-03-31|1812091.56|1812091.56|80357.14||1812091.56||1347691.82|1347691.82|80357.14||80357.14||||||||1267334.68|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,918.9273万股(本次转股0.3079万股)|
|南方航空|600029.SH|2025-02-28|1812091.25|1812091.25|80357.14||1812091.25||1347691.52|1347691.52|80357.14||80357.14||||||||1267334.37|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,918.6194万股(本次转股0.0972万股)|
|南方航空|600029.SH|2024-12-31|1812091.15|1812091.15|80357.14||1812091.15||1347691.42|1347691.42|80357.14||80357.14||||||||1267334.28|||||||464399.73||464399.73||||-|-||
|南方航空|600029.SH|2024-11-30|1812091.15|1812091.15|80357.14||1812091.15||1347691.42|1347691.42|80357.14||80357.14||||||||1267334.28|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,918.5222万股(本次转股0.162万股)|
|南方航空|600029.SH|2024-10-31|1812090.99|1812090.99|80357.14||1812090.99||1347691.26|1347691.26|80357.14||80357.14||||||||1267334.11|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,918.3602万股(本次转股0.081万股)|
|南方航空|600029.SH|2024-09-30|1812090.91|1812090.91|80357.14||1812090.91||1347691.18|1347691.18|80357.14||80357.14||||||||1267334.03|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161918.2792万股(本次转股0.0162万股)|
|南方航空|600029.SH|2024-08-31|1812090.89|1812090.89|80357.14||1812090.89||1347691.16|1347691.16|80357.14||80357.14||||||||1267334.02|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,918.263万股(本次转股0.0324万股)|
|南方航空|600029.SH|2024-07-31|1812090.86|1812090.86|80357.14||1812090.86||1347691.13|1347691.13|80357.14||80357.14||||||||1267333.99|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161918.2306万股(本次转股0.0162万股)|
|南方航空|600029.SH|2024-06-30|1812090.84|1812090.84|80357.14||1812090.84||1347691.11|1347691.11|80357.14||80357.14||||||||1267333.97|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161918.2144万股(本次转股0.0486万股)|
|南方航空|600029.SH|2024-05-31|1812090.79|1812090.79|80357.14||1812090.79||1347691.06|1347691.06|80357.14||80357.14||||||||1267333.92|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,918.1658万股(本次转股0.0162万股)|
|南方航空|600029.SH|2024-04-30|1812090.78|1812090.78|80357.14||1812090.78||1347691.05|1347691.05|80357.14||80357.14||||||||1267333.9|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,918.1496万股(本次转股0.0162万股)|
|南方航空|600029.SH|2024-03-31|1812090.76|1812090.76|80357.14||1812090.76||1347691.03|1347691.03|80357.14||80357.14||||||||1267333.89|||||||464399.73||464399.73||||-|-||
|南方航空|600029.SH|2024-02-29|1812090.76|1812090.76|80357.14||1812090.76||1347691.03|1347691.03|80357.14||80357.14||||||||1267333.89|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161918.1334万股(本次转股0.0648万股)|
|南方航空|600029.SH|2024-01-31|1812090.7|1812090.7|80357.14||1812090.7||1347690.97|1347690.97|80357.14||80357.14||||||||1267333.82|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,918.0686万股(本次转股0.0162万股)|
|南方航空|600029.SH|2023-12-31|1812090.68|1812090.68|80357.14||1812090.68||1347690.95|1347690.95|80357.14||80357.14||||||||1267333.81|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161918.0524万股(本次转股0.0486万股)|
|南方航空|600029.SH|2023-10-31|1812090.63|1812090.63|80357.14||1812090.63||1347690.9|1347690.9|80357.14||80357.14||||||||1267333.76|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,918.0038万股(本次转股0.0162万股)|
|南方航空|600029.SH|2023-09-30|1812090.62|1812090.62|80357.14||1812090.62||1347690.89|1347690.89|80357.14||80357.14||||||||1267333.74|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161917.9876万股(本次转股0.0162万股)|",2026-08-17T22:45:04.134683+08:00
