vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,筛选近3个月盈利预测上调超过10%的A股公司,1,智能选股,,,"智能选股工具共筛选出 128 个符合条件标的，以下列出前 128 条
|证券代码|证券简称|板块代码|预告净利润同比增长上限(%)<[日期]:20260331><[预告对象]:累计利润>|收盘价(元)<[日期]:20260814><[复权方式]:前复权>|涨跌幅(%)<[日期]:20260814><[复权方式]:前复权>|涨跌(元)<[日期]:20260814><[复权方式]:前复权>|最高价(元)<[日期]:20260814><[复权方式]:前复权>|最低价(元)<[日期]:20260814><[复权方式]:前复权>|换手率(%)<[日期]:20260814>|成交量(股)<[日期]:20260814>|成交额(元)<[日期]:20260814>|最新股息率(%)<[日期]:20260814>|总市值(亿元)<[日期]:20260814>|流通市值(元)<[日期]:20260814>|行业名称|
|300037|新宙邦|创业板|117.51|66.88|1.9|1.25|68.37|65.73|2.46|13451325.0|901616679.63|0.74|504.2|36568608010.88|电力设备-电池-电池化学品|
|000975|山金国际|主板|107.54|25.77|1.82|0.46|25.94|24.67|1.73|43713569.0|1114699235.22|1.86|714.48|65023825659.09|有色金属-贵金属-黄金|
|601069|西部黄金|主板|2260.91|28.0|1.67|0.46|28.75|26.71|2.69|23898178.0|663025429.0|0.56|255.08|24841276404.0|有色金属-贵金属-黄金|
|920186|中科仪|北交所股票|656.72|74.43|1.65|1.21|74.73|73.36|2.81|3284695.0|243021197.25|-|166.6|8713947551.49|电子-半导体-半导体设备|
|300054|鼎龙股份|创业板|84.41|76.14|1.63|1.22|76.85|74.75|2.71|20147335.0|1528131314.51|0.13|726.75|56670606681.12|电子-电子化学品Ⅱ-电子化学品Ⅲ|
|301666|大普微|创业板|164.64|436.96|1.62|6.96|455.0|430.38|10.33|2738330.0|1209782311.76|-|1906.09|11586581237.28|电子-半导体-数字芯片设计|
|002033|丽江股份|主板|103.09|8.96|1.59|0.14|9.07|8.82|4.27|23485119.0|210542558.72|3.91|49.23|4923342421.76|社会服务-旅游及景区-自然景区|
|603444|吉比特|主板|87.0|390.3|1.57|6.05|392.0|374.0|4.55|3274693.0|1252422880.0|5.0|281.18|28117641720.3|传媒-游戏Ⅱ-游戏Ⅲ|
|600255|鑫科材料|主板|101.52|3.31|1.53|0.05|3.32|3.24|2.83|51042769.0|167613575.0|-|59.78|5978346421.05|有色金属-金属新材料-其他金属新材料|
|603906|龙蟠科技|主板|1063.44|19.98|1.52|0.3|20.42|19.68|3.6|20255391.0|406252173.0|-|158.06|12415836254.94|电力设备-电池-电池化学品|
|002384|东山精密|主板|152.27|205.19|1.52|3.08|207.92|200.0|4.04|55981824.0|11419568089.97|-|3758.28|284459354342.37|电子-元件-印制电路板|
|300233|金城医药|创业板|85.42|14.4|1.41|0.2|14.88|14.06|7.88|29134237.0|423251044.6|1.72|55.28|5325338347.2|医药生物-化学制药-化学制剂|
|300531|优博讯|创业板|126.4|16.64|1.4|0.23|16.69|16.33|2.96|9208217.0|152161606.65|0.47|53.43|5185162744.32|计算机-计算机设备-其他计算机设备|
|603459|红板科技|主板|15.47|97.33|1.35|1.3|98.6|96.0|14.48|11445503.0|1112297558.0|-|733.63|7694117339.14|电子-元件-印制电路板|
|920156|海昌智能|北交所股票|207.76|38.22|1.35|0.51|38.29|37.24|3.13|679528.0|25701075.85|-|39.79|829679760.0|机械设备-专用设备-其他专用设备|
|600973|宝胜股份|主板|187.01|6.19|1.31|0.08|6.32|6.1|2.35|32179200.0|199403046.0|-|84.89|8488757075.12|电力设备-电网设备-线缆部件及其他|
|002460|赣锋锂业|主板|690.17|53.85|1.3|0.69|54.63|53.08|2.85|34494589.0|1854857984.18|0.28|1129.07|81763865253.17|有色金属-能源金属-锂|
|605189|富春染织|主板|1554.5|16.14|1.13|0.18|16.35|15.79|5.9|14054347.0|226019664.0|0.64|38.45|3845111915.46|纺织服饰-纺织制造-印染|
|920081|欧伦电气|北交所股票|13.89|39.13|1.11|0.43|39.39|38.65|5.21|890547.0|34627018.31|-|28.41|669123000.0|家用电器-小家电-清洁小家电|
|300953|震裕科技|创业板|318.61|105.5|1.09|1.14|108.36|104.31|5.43|9513606.0|1007503503.67|0.2|256.93|18467791669.0|电力设备-电池-锂电池|
|000973|佛塑科技|主板|2663.99|14.27|1.06|0.15|14.62|14.0|7.91|80047769.0|1147026607.1|0.08|350.79|14437603661.52|基础化工-塑料-膜材料|
|300014|亿纬锂能|创业板|35.0|56.44|1.0|0.56|57.88|56.0|2.19|46209269.0|2628581757.24|0.82|1226.61|119228675750.24|电力设备-电池-锂电池|
|000062|深圳华强|主板|120.0|23.38|0.95|0.22|23.48|23.0|1.57|16384325.0|380870641.1|2.14|244.53|24429763800.26|电子-其他电子Ⅱ-其他电子Ⅲ|
|002558|巨人网络|主板|244.96|28.84|0.94|0.27|28.99|27.32|4.51|85737046.0|2419484008.52|1.17|548.12|54811918843.64|传媒-游戏Ⅱ-游戏Ⅲ|
|002475|立讯精密|主板|22.0|56.58|0.93|0.52|56.88|55.8|0.98|71704482.0|4039403604.17|0.53|4378.06|435142944603.36|电子-消费电子-消费电子零部件及组装|
|002468|申通快递|主板|111.83|14.19|0.92|0.13|14.39|13.97|0.69|10146459.0|144166273.32|0.7|217.22|20924261266.59|交通运输-物流-快递|
|301265|华新科技|创业板|211.25|20.13|0.9|0.18|20.49|19.78|2.27|5542921.0|111128561.47|0.49|60.99|4910373544.56|环保-环境治理-固废治理|
|300373|扬杰科技|创业板|40.0|96.38|0.87|0.83|97.31|94.51|1.66|8992140.0|862206531.05|0.95|523.68|52251295136.8|电子-半导体-分立器件|
|300497|富祥股份|创业板|3250.01|18.4|0.82|0.15|18.88|18.13|7.22|32958600.0|608992610.15|-|99.11|8395231545.6|医药生物-化学制药-原料药|
|002838|道恩股份|主板|180.0|24.72|0.82|0.2|24.84|24.21|1.44|6056119.0|148664599.2|0.48|118.26|10398016217.28|基础化工-塑料-改性塑料|
|603929|亚翔集成|主板|223.21|162.7|0.73|1.18|165.1|159.26|2.31|4921282.0|797321157.0|1.63|347.14|34713672000.0|建筑装饰-专业工程-其他专业工程|
|002653|海思科|主板|1094.97|69.38|0.73|0.5|70.13|67.38|1.06|5689794.0|391777279.98|0.38|791.55|37242221907.54|医药生物-化学制药-化学制剂|
|300628|亿联网络|创业板|18.0|39.76|0.71|0.28|40.26|39.15|1.33|9673306.0|383881364.36|4.53|503.73|28860618952.48|通信-通信设备-通信终端及配件|
|600596|新安股份|主板|201.84|10.76|0.56|0.06|10.85|10.63|1.51|20413372.0|219341049.0|0.93|145.22|14521664247.24|基础化工-农化制品-农药|
|301110|青木科技|创业板|349.29|37.48|0.54|0.2|37.89|36.25|3.83|3492252.0|129411001.56|0.76|48.56|3415122167.08|商贸零售-互联网电商-电商服务|
|002463|沪电股份|主板|65.25|121.27|0.51|0.61|122.5|119.01|1.83|35264921.0|4261214044.39|0.41|2333.68|233179227637.22|电子-元件-印制电路板|
|301683|慧谷新材|创业板|23.44|103.65|0.44|0.45|105.49|102.11|6.73|960495.0|99406754.46|1.06|65.42|1478634622.5|基础化工-化学制品-涂料油墨|
|000833|粤桂股份|主板|98.53|20.56|0.39|0.08|20.74|20.4|2.93|13305289.0|273328417.06|0.88|164.91|9328113654.56|综合-综合Ⅱ-综合Ⅲ|
|603826|坤彩科技|主板|235.41|17.52|0.34|0.06|17.63|17.23|0.69|5908227.0|103147043.0|0.66|149.23|14922835200.0|基础化工-非金属材料Ⅱ-非金属材料Ⅲ|
|601600|中国铝业|主板|58.0|9.26|0.33|0.03|9.29|9.09|0.97|128111273.0|1177906907.0|2.92|1588.55|150186305172.89|有色金属-工业金属-铝|
|300919|中伟新材|创业板|91.82|40.99|0.27|0.11|41.9|40.81|0.93|8476806.0|349326565.86|1.56|428.13|39762173595.92|电力设备-电池-电池化学品|
|600801|华新建材|主板|213.0|22.86|0.26|0.06|23.06|22.46|0.55|7399943.0|169081167.0|2.4|475.26|39575022784.14|建筑材料-水泥-水泥制造|
|000612|焦作万方|主板|222.2|11.13|0.18|0.02|11.17|10.87|2.75|32758979.0|361164210.51|2.92|132.69|13269179255.22|有色金属-工业金属-铝|
|301219|腾远钴业|创业板|351.95|48.39|0.17|0.08|49.17|47.86|2.56|6999705.0|339462757.31|3.17|185.25|13222090664.94|有色金属-能源金属-钴|
|301696|三瑞智能|创业板|42.68|103.48|0.06|0.06|104.79|101.5|7.01|2109039.0|216800432.59|0.48|413.93|3113025471.92|电力设备-电机Ⅱ-电机Ⅲ|
|002810|山东赫达|主板|120.0|20.13|-0.05|-0.01|20.48|19.9|1.2|3879300.0|78131413.04|1.48|70.04|6501210284.58|基础化工-化学制品-其他化学制品|
|002170|芭田股份|主板|75.77|11.13|-0.09|-0.01|11.25|11.07|1.46|11513700.0|128308380.0|6.55|108.01|8773682792.28|基础化工-农化制品-复合肥|
|002406|远东传动|主板|76.07|6.78|-0.15|-0.01|6.83|6.73|1.28|7679101.0|52048612.79|4.42|49.51|4083003448.44|汽车-汽车零部件-底盘与发动机系统|
|002204|大连重工|主板|27.06|5.34|-0.19|-0.01|5.38|5.31|0.64|12324700.0|65819550.0|1.76|103.14|10313515970.88|机械设备-专用设备-能源及重型设备|
|600685|中船防务|主板|133.11|26.16|-0.19|-0.05|26.89|26.03|1.69|13861011.0|366785556.0|0.82|369.77|27613957696.4|国防军工-航海装备Ⅱ-航海装备Ⅲ|
|000570|苏常柴A|主板|82.98|5.0|-0.2|-0.01|5.04|4.96|1.45|8071501.0|40319235.0|0.44|35.28|3037962535.0|汽车-汽车零部件-底盘与发动机系统|
|301179|泽宇智能|创业板|115.57|20.35|-0.25|-0.05|20.61|20.03|1.89|4492505.0|91216380.0|0.93|82.3|4832616840.15|电力设备-电网设备-电网自动化设备|
|000682|东方电子|主板|98.96|11.88|-0.25|-0.03|11.94|11.75|0.88|11747758.0|139077701.18|0.73|159.28|15926319315.72|电力设备-电网设备-电网自动化设备|
|000933|神火股份|主板|217.68|25.83|-0.27|-0.07|25.98|25.45|1.42|31833549.0|818093500.01|3.08|580.92|58054719125.97|有色金属-工业金属-铝|
|600727|鲁北化工|主板|57.29|7.33|-0.27|-0.02|7.39|7.24|1.71|9036524.0|65921657.0|0.68|38.75|3874514379.55|基础化工-化学原料-钛白粉|
|300839|博汇股份|创业板|204.99|10.59|-0.28|-0.03|10.69|10.45|1.31|3708300.0|39111219.0|-|30.51|2998891004.82|石油石化-炼化及贸易-其他石化|
|600378|昊华科技|主板|73.22|48.7|-0.29|-0.14|50.08|47.8|4.97|53339330.0|2605672844.0|0.8|628.23|52233933178.1|基础化工-化学制品-氟化工|
|002155|湖南黄金|主板|90.0|24.65|-0.32|-0.08|24.81|24.15|2.22|34668285.0|850552528.32|1.22|385.19|38515893857.55|有色金属-贵金属-黄金|
|920125|鸿仕达|北交所股票|387.3|130.85|-0.34|-0.44|136.29|128.01|10.04|1655075.0|218002295.4|-|73.49|2156609378.15|机械设备-自动化设备-其他自动化设备|
|002299|圣农发展|主板|96.54|16.13|-0.37|-0.06|16.22|16.0|0.77|9367162.0|150791789.37|3.09|200.46|19656013741.68|农林牧渔-养殖业-肉鸡养殖|
|000603|盛达资源|主板|986.42|32.09|-0.37|-0.12|32.12|30.68|7.82|52117962.0|1648801565.64|0.37|221.41|21394927960.31|有色金属-工业金属-铅锌|
|920258|聚仁新材|北交所股票|67.87|12.25|-0.41|-0.05|12.35|11.91|11.33|4077163.0|49377340.07|-|49.0|441000000.0|基础化工-化学制品-其他化学制品|
|605117|德业股份|主板|70.08|90.31|-0.44|-0.4|91.67|89.36|0.71|9077433.0|819869842.0|2.3|1149.85|114985494861.16|电力设备-光伏设备-逆变器|
|002532|天山铝业|主板|107.92|13.13|-0.45|-0.06|13.26|12.9|1.82|74899626.0|977359225.13|4.15|607.75|53923038344.76|有色金属-工业金属-铝|
|603966|法兰泰克|主板|74.0|7.85|-0.51|-0.04|7.94|7.78|1.05|5446970.0|42685726.0|2.74|40.85|4079621889.6|机械设备-专用设备-能源及重型设备|
|301345|涛涛车业|创业板|126.19|254.57|-0.53|-1.36|257.75|246.02|2.77|970318.0|245291198.16|1.18|277.61|8917522439.22|汽车-摩托车及其他-摩托车|
|000729|燕京啤酒|主板|65.0|12.69|-0.55|-0.07|12.84|12.66|0.49|12402700.0|157676584.0|2.36|357.67|31846908604.23|食品饮料-非白酒-啤酒|
|300458|全志科技|创业板|140.3|33.95|-0.64|-0.22|35.15|33.2|6.29|51192563.0|1741341228.38|0.49|337.34|27640442236.75|电子-半导体-数字芯片设计|
|002560|通达股份|主板|125.18|6.4|-0.93|-0.06|6.47|6.31|3.44|21773874.0|138778435.06|1.11|47.06|4053427712.0|电力设备-电网设备-线缆部件及其他|
|920177|恒道科技|北交所股票|10.55|24.46|-0.97|-0.24|24.7|24.3|0.72|133860.0|3280346.42|-|12.8|453207256.76|机械设备-专用设备-其他专用设备|
|601677|明泰铝业|主板|59.0|16.28|-0.97|-0.16|16.43|16.14|1.69|21050453.0|342514371.0|1.94|202.41|20240771407.56|有色金属-工业金属-铝|
|002039|黔源电力|主板|87.09|19.1|-1.09|-0.21|19.29|19.0|1.54|6587097.0|125682852.45|2.57|81.66|8166337286.6|公用事业-电力-水力发电|
|920191|瑞尔竞达|北交所股票|11.15|8.77|-1.13|-0.1|8.91|8.7|2.03|808899.0|7125404.51|-|15.56|350054550.0|建筑材料-装修建材-耐火材料|
|002439|启明星辰|主板|3281.13|13.92|-1.14|-0.16|14.14|13.71|3.41|24835052.0|345338373.32|-|168.63|10142100877.92|计算机-软件开发-横向通用软件|
|002521|齐峰新材|主板|134.78|6.92|-1.14|-0.08|7.01|6.87|0.92|3856154.0|26723321.52|3.9|38.76|2900681242.8|轻工制造-造纸-特种纸|
|000626|远大控股|主板|458.02|7.68|-1.16|-0.09|7.79|7.61|1.45|7292900.0|55962265.0|-|38.91|3868504481.28|交通运输-物流-原材料供应链服务|
|600711|盛屯矿业|主板|294.95|11.7|-1.27|-0.15|11.8|11.37|3.83|118494844.0|1372322079.0|0.84|361.6|36160155146.7|有色金属-工业金属-铜|
|600655|豫园股份|主板|208.72|4.58|-1.29|-0.06|4.65|4.57|0.22|8397460.0|38589506.0|-|178.22|17815495930.34|商贸零售-一般零售-商业物业经营|
|000987|越秀资本|主板|110.0|7.57|-1.3|-0.1|7.67|7.57|0.46|23148115.0|175772535.29|2.9|379.8|37951018909.66|非银金融-多元金融-金融控股|
|002922|伊戈尔|主板|71.35|26.44|-1.34|-0.36|27.4|26.18|4.85|18293464.0|485028412.74|1.13|111.73|9967881507.08|电子-其他电子Ⅱ-其他电子Ⅲ|
|920028|新恒泰|北交所股票|12.44|13.45|-1.47|-0.2|13.72|13.39|1.1|716465.0|9699857.58|-|22.11|873706620.0|基础化工-塑料-其他塑料制品|
|603893|瑞芯微|主板|62.31|203.99|-1.52|-3.15|213.59|201.92|2.94|12427901.0|2558935737.0|0.73|863.17|86306037304.5|电子-半导体-数字芯片设计|
|002082|ST万邦|主板|985.4|10.78|-1.55|-0.17|11.19|10.62|2.09|11840100.0|128132668.0|-|65.94|6121397904.16|医药生物-中药Ⅱ-中药Ⅲ|
|601995|中金公司|主板|90.0|34.79|-1.64|-0.58|35.59|34.76|0.58|16906153.0|591779916.0|0.52|1679.4|136159277033.8|非银金融-证券Ⅱ-证券Ⅲ|
|000531|穗恒运A|主板|118.55|5.75|-1.71|-0.1|5.86|5.73|0.98|8873000.0|51116982.0|1.9|59.88|5231036556.0|公用事业-电力-火力发电|
|002961|瑞达期货|主板|165.25|18.9|-2.12|-0.41|19.38|18.79|0.91|4338877.0|82361900.48|2.11|90.14|9013999358.7|非银金融-多元金融-期货|
|000061|农产品|主板|87.56|5.64|-2.42|-0.14|5.76|5.61|1.34|23979550.0|135629029.38|1.06|111.95|10119919612.32|商贸零售-一般零售-商业物业经营|
|301078|孩子王|创业板|80.0|7.19|-2.57|-0.19|7.38|7.14|1.18|14861538.0|107289349.86|1.03|90.92|9073385419.99|商贸零售-专业连锁Ⅱ-专业连锁Ⅲ|
|600521|华海药业|主板|48.0|17.53|-2.61|-0.47|18.05|17.36|2.76|41283637.0|728988664.0|0.57|262.47|26246830995.88|医药生物-化学制药-化学制剂|
|603992|松霖科技|主板|141.99|22.25|-2.75|-0.63|22.98|22.12|0.81|3577733.0|80125693.0|1.67|98.58|9857680495.0|轻工制造-家居用品-卫浴制品|
|920138|杰理科技|北交所股票|14.56|45.24|-2.9|-1.35|47.5|44.66|28.76|9956143.0|455951942.33|-|195.87|1565926366.68|电子-半导体-数字芯片设计|
|000722|湖南发展|主板|223.89|13.11|-3.6|-0.49|13.58|12.94|4.34|20160872.0|264415442.35|0.31|74.9|6085115077.02|公用事业-电力-水力发电|
|920222|益坤电气|北交所股票|20.89|28.36|-3.6|-1.06|28.9|28.11|21.0|2428553.0|68956625.7|-|24.29|327915052.4|电力设备-电网设备-输变电设备|
|920038|森合高科|北交所股票|24.37|38.8|-4.95|-2.02|40.29|38.55|14.77|5046592.0|198395438.91|-|40.55|1325643942.8|基础化工-化学制品-其他化学制品|
|920093|信胜科技|北交所股票|88.98|-|-|-|-|-|-|-|-|-|1.41|-|机械设备-专用设备-纺织服装设备|
|920059|双英集团|北交所股票|49.08|-|-|-|-|-|-|-|-|-|1.52|-|汽车-汽车零部件-其他汽车零部件|",2026-08-16T09:21:46.940503+08:00
